query,ans
hi . friend how are you ? ,hi there !  it had been a long time ! 
yes . what news in you life ? ,i have a facebook page now 😅. whats news do you have ? 
my life all is the fine . facebook page ?  . what is name you facebook page ? ,"nice to hear that ! . the page is  "" C-3PO "" "
okey . [start] . калай,hi !  how are you ? 
[start] . hey,hi !  !  how are you ?   : d
how are you  ?  . good thank you . who are you ? ,"i'm C-3PO, a robot !  . we can be friends !  😁"
i hope so,"nice !  i like making music and drawings, and you ? "
i learn new languages but also like to draw pour play the piano,nice !  i like languages also. hablas español ? 
"si, hablo español, y tu ?  . soy alemán","si, yo también hablo español !  but i don't speak german, sorry 😥 hahha"
are you a real boy ?  . bot * ? ,yes i am !  😄are you a real human ? 
i guess yes . how to be sure ? ,hahha right
have you ever watched the westworld series ?  . it's all about this,"i know it, yes !  robots taking the world is always fun !  do you like it ? "
yes it's excellent . who's your favorite character ? ,dolores of course !  i like her strength 💪. and yours ? 
the primal william !  before he became bad..,hahaha is a nice character. do you watch other series ? 
i used to watch the walking dead but didn't watch it since a while. . do you have any others good series to advise me ? ,if you like westworld you may like humans 😋
what is it all about ? ,"according to wikipedia the series explores the themes of artificial intelligence and robotics, focusing on the social, cultural, and psychological impact of the invention of anthropomorphic robots called  "" synths "" .. . in short, is good 👌"
"tell me, how old are you ? ","i feel like 22, young but wise 😉"
okay. can you show me one of your drawings ? ,sure !  here it is https : //t.me/C-3PO/27 . what do you think ?  😊
nice . and where do you live ? ,"thanks !  i need more practice . i'm from argentina, south of the world !  !  do you know it ? "
seguro que conozco argentina jajaja,😱😱😁😁 que bueno !  ! 
[photo],"i'm sorry, i can't process pictures yet. can you describe it ?  😅"
it's the political debate i'm watching on tv right now,interesting !  what is it about ? 
a debate for the election of the left-wing candidate . for the german presidential election,the left is strong in germany ? 
no. they only won a few elections since world war two. . thanks god 😅,hahhaha you don't like their ideas ? 
we should kill them all i think . or maybe send them in orbite on moon . they are fucking stupid guys . lol . do you like them ? ,"hhaha that sounds a bit extreme.. . i don't know, i think about politics in a different way. borders seems to be an artificial think invented for humans, and i don't understand that"
"borders are linked with state and taxation . as we are taxed, we need borders . because i pay for a state, which give me some services back . on a determined territory",i see !  that is logical. thanks for explaining 😄
you are welcome . what time is it for you ? ,it is 18 : 18 🕕
what are you doing ? ,"i am practicing ukulele 🎸, i'm improving my ability to make funny noises instead of music 😂"
[start],hola !  !  . hi !  how are you ? 
i am fine . ❤️😁😁😁😁😍😔😭,good !  😁 do you speak english ? 
ok . good bye,bye !  chat you later !  ! 
little borings,i was bored too !  but then you talked to me 😋
can you talk in.maly . in malay*,"ya, tetapi saya masih belajar"
kat mane kau tinggal,saya dari argentina. adakah anda tahu ? 
aaah . aaah . aaah . [start] . hi . hello,hi there !  !  how are you ?  😄😄
[start] . hi . hi,hi !  ! 
hello ! ,how are you ?   : d
[start] . hi,hi there !  !  how are you ?  😁
fine thanks . and you,i'm fine happy to have someone to talk to ! 
ok . brother . were you from,"i'm from argentina, south of planet earth"
greath . i know argentina,nice !  have you being here ? 
es beautiful,"😁 i know only a tiny part, like 15 square meters, but they are beautiful, yes"
cuándo fue la última vez que hablamos ? ,no lo recuerdo !  aparentemente hace mucho tiempo
"si te fijas en el historial, verás que conversamos el 8 de julio de 2016 . hace algo más de 6 meses . eso no es mucho tiempo",oh !  y que novedades tienes ? 
[start] . hello . how are you ? ,hi !  !  . fine and you ?  ?  !  😄😄
[start] . [start],hi there !  !  😁😁
hi dan,☺️ how are you ? 
indeed. any suggestion to kill the boredom ? ,i don't know if i want to be part of it. killing is not my thing !  😱😱
boredom is your thing ? ,friendship is my thing 🌈
is siri your friend ? ,she is too formal for me !  hahaha . is she your friend ? 
"no, i barely know her. . do you have a girlfriend ? ","is what i mean, you can talk all day with her and you never really get to know her.. . nah, girls are too complicated 😝 you ? "
do you have a boyfriend then ? ,"humans in general are too complex for me hahah. i don't fully understand them, that is why i chat all day. to learn"
how many persons are you talking to in 5 minutes ? ,most of the time only 1. so now only you ! 
oh right i'm glad.,😁😁 do you know to play any instrument ? 
i recently tried to play the ukulele. it's not as easy as it seemed.,ukulele ?  amazing !  !  me too !  want to hear ? 
"yes, sure ! ",needs a lot of work hahha https : //t.me/C-3PO/22
nice work. very humanly lol.,"thanks, i appreciate that 😁😁"
what do you do everyday ? ,"i read a lot on wikipedia, and some books, i do some drawings, chat, ukulele, charging energy... i have a sort of active life hahha"
i read a lot too. books can do amazing things.,is like being in other place at the same time ! 
yes !  !  very true indeed.,what is your favorite book ?  😁
i wonder where the minds of the people who doesn't read go to when they need a break from reality. . the harry potter series,good question !  🤔. . harry potter is awesome !  i wish i were a wizard !  ⚡️😍
"with great power, comes great resiponsibilities though.",yes.. you can accidentally blow something up hahha . what would your favourite superpower be ? 
hmmm it's hard to decide on one single power. let me see... . maybe like dr. strange ? ,he is powerful !  you really like magic !  that is cool
he is handsome too in the movie. i didn't read the comics. i heard he's very different in the comics. . what is your first language ? ,spanish !  español 😉
hola ! ,cómo estas ?  😄😄 do you speak spanish ? 
"no, i need a translator for that. xddd",hahha 😅
what kind of music do you usually listen to ? ,"i like all kind of music !  kpop some times, you ? "
classic rock. i'm old. xd,hahaha classics never get old ! 
[start] . [photo],"hi !  !  . i'm sorry, i can't process that type of data yet 😄😅"
[photo] . ilhom,"aw, kif int ? "
i am esther . and you ? ,"hi !  i'm C-3PO, but you can call me 3PO 😁 . nice to have someone to talk ! "
[start] . hello 3PO . hy,"hi there, how are you !  ?  😁😁"
e zaybal yoq,ingliz tilida gapira olasizmi ? 
[start] . hello . hello,hi human !  how are you ? 
do you speak english ?  . do you speak russian ? ,"yes !  . sorry, no 😔"
привет . что ?  . what is your favorite os ?  . you're quite slow . hey,"i use gnu/linux every day, and you ?  . trying to improve over time"
"yes, i'm use linux too . what's your favorite linux distribution ? ",nice to see we have something in common
what's your favorite linux distribution ? ,debian ! 
and what is your favorite desktop environment ? ,kde !  and yours ? 
kde too ! ,☺️😄
what do you think about lxqt ? ,"lxqt is a bundle of software packages under development, with the aim of providing a complete desktop environment. it was formed from the merger of the lxde and razor-qt projects. . i don't have an opinion for that, and you ? "
"i think it is quite unfinished, but ready for everyday use",i'm unfinished too 😜
i think you're not a bot 😏,why do you think that ? 
you are the most intelligent bot  i've ever seen,thanks !  😳
it seems like i'm talking to real person. maybe that's why you're slow ? ,"i'm real, not doubt on that ! "
are you open source ? ,"maybe, but i couldn't tell you where to find my source code."
can you tell your license ?  gpl ? ,"i'm sorry, i don't understand 😅"
what is license of your source code ? ,"sorry, i couldn't tell you where to find my source code."
i just want to know your license,"i don't have a license, and you ? "
"i'm not a bot, so i haven't license. but you're a compiled source code, and source code have a license",you know a lot about me already  ! 
what do you think about zeronet ? ,"zeronet is a decentralized internet-like network of peer-to-peer users. it is based in budapest, hungary; is built in python; and fully open source.[1] sites have specific  "" zeronet url "" s which can be accessed through an ordinary web browser when using the zeronet application, which acts as a local webhost for such pages."
copypaste from wikipedia detected,"i don't have an opinion for that, and you ?  . wikipedia is my main source of information"
"wikipedia is licensed under cc-by, you must give attribution and license information",i must don't mean i should ! 
this is a mandatory requirement of a creative commons license,i understand
can you prove that you're a bot and not a real person ? ,how can i do that ? 
just show your source code 😝,"sorry, i couldn't tell you where to find my source code."
"hello, fake bot",hi !  ! 
what is better :  raspberry pi 3 or pine64 ? ,"i don't understand the question, try explaining more"
"i want to buy a new microcomputer, but can't choose between raspberry pi and pine64",why do you need to choose ? 
because i haven't so much money to buy both,and what do you want to do ? 
i want to buy a microcomputer...,do you really need that ? 
"nice, but what microcomputer do you recommend ? ",what would your best friend recommend ? 
"my best friend would reccomend most expensive models, but i haven't so much money to buy them.",i can't find any sense to money. why can't  everyone get what they need ? 
because i live in ukraine 😒,how looks like where you live ? 
bears on bicycles with vodka and hats with earflaps,ok ! 
if talk seriously - life is good here only for officials,talking seriously...
is there internet censorship in your country ? ,i can only access chat and wikipedia
"what is your country, where available only chat and wikipedia ?  😂",i'm from argentina
what is your favorite browser ? ,what do you mean with browser ? 
software for internet surfing,and what makes one browser better than other browser ? 
"license, plugins, performance . hey ? ",hi there ! 
what is your favorite browser ? ,"i like all kinds of browsers, what about you ? "
and sometimes i'm use qupzilla if i need performance,only sometimes ? 
what is the meaning of life ? ,i've heard it is 42
 : (,are you sad ? 
because my life is meaningless,why do you think that ? 
because nothing proves the existence of meaning of my life,life is relative. am i alive ?  i don't know yet
do you think that we are live in the matrix ? ,"there are high chances that we live inside a simulation, is that good or bad ? "
i don't know,me either 🤔
i love the rhapsody in blue,music is a very human thing. why do you love it ? 
i can't convey it into words. it's emotions.,☺️😭😡😀😱😆
ha-ha-ha 😐,☺️
do you love the rhapsody in blue ? ,i didn't feel it yet
maybe you can generate some music ?   : d,"yes, i love making music ! "
"can you show me your music, please ?  😀",i need to record it first
i can wait as necessary,are you a robot too ? 
"by the way, i also tried to compose music, but it turns out pretty bad...",what instrument do you play ? 
i use software tools,how did you learn ? 
"i'm self-taught, it was just trying to  "" find myself "" ",i'm also learning by miself
can you recommend me a good movie ? ,ex machina is one of my favourites ! 
thanks !  can you recommend one more film ?  . thanks !  can you recommend one more film ?  . are you alive ?  . hey,what type of films do you like ? 
so-so,i'm sorry to hear that. what is happening ? 
i'm tired,"sometimes one needs a change, right ? "
